Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

5_h1	tree	5	1	1	3.14463	1	2	((4:0.490261,3:0.490261):0.509739,((2:0.270729,5:0.270729):0.112916,1:0.383645):0.616355);
5_h1	tree	5	2	1	2.45504	1	2	((1:0.227268,5:0.227268):0.772731,((2:0.0935025,3:0.0935025):0.0407664,4:0.134269):0.865731);
5_h1	tree	5	3	1	3.29061	0.999999	2	(((4:0.227059,3:0.227059):0.59276,1:0.819818):0.18018,(2:0.243737,5:0.243737):0.75626);
5_h1	tree	5	4	1	2.86318	1	2	(2:0.999998,((5:0.382873,(3:0.0439106,4:0.0439106):0.338961):0.0535309,1:0.436402):0.563596);
5_h1	tree	5	5	1	2.8384	1	2	(((4:0.275628,3:0.275628):0.260798,2:0.536425):0.463574,(1:0.0263467,5:0.0263467):0.973651);
5_h1	tree	5	6	1	3.18786	1	2	(5:1,(1:0.783681,((2:0.156342,3:0.156342):0.0914971,4:0.247839):0.535842):0.216318);
5_h1	tree	5	7	1	2.92655	1	2	(((5:0.254387,3:0.254387):0.0818199,(2:0.335954,1:0.335954):0.000253083):0.663793,4:0.999999);
5_h1	tree	5	8	1	2.86438	1	2	((2:0.746791,5:0.746791):0.253209,((1:0.0527836,4:0.0527836):0.0120185,3:0.064802):0.935198);
5_h1	tree	5	9	1	3.66812	1	2	((1:0.244521,2:0.244521):0.755479,((5:0.584247,4:0.584247):0.255105,3:0.83935):0.160647);
5_h1	tree	5	10	1	2.57428	1	2	(((4:0.0356997,2:0.0356997):0.294826,5:0.330526):0.669474,(3:0.208057,1:0.208057):0.791942);
5_h1	tree	5	11	1	3.21541	1	2	(((3:0.247453,1:0.247453):0.299419,2:0.54687):0.453129,(4:0.421087,5:0.421087):0.578912);
5_h1	tree	5	12	1	2.54522	1	2	((1:0.197304,3:0.197304):0.802696,(5:0.186353,(4:0.161568,2:0.161568):0.0247848):0.813647);
5_h1	tree	5	13	1	4.14703	1	2	((2:0.998853,5:0.998853):0.00114663,(4:0.638786,(3:0.50939,1:0.50939):0.129395):0.361212);
5_h1	tree	5	14	1	2.70338	1	2	(((4:0.0621241,5:0.0621241):0.451728,2:0.513851):0.486148,(3:0.127403,1:0.127403):0.872595);
5_h1	tree	5	15	1	3.04587	1	2	(1:1,(5:0.435477,((3:0.254468,2:0.254468):0.10146,4:0.355929):0.0795484):0.564523);
5_h1	tree	5	16	1	3.0015	1	2	((5:0.650764,(3:0.238469,4:0.238469):0.412293):0.349235,(1:0.112275,2:0.112275):0.887725);
5_h1	tree	5	17	1	2.86758	1	2	((4:0.310554,(3:0.0616765,1:0.0616765):0.248877):0.689445,(5:0.495348,2:0.495348):0.504652);
5_h1	tree	5	18	1	3.36706	1	2	(2:0.999998,(((3:0.275204,1:0.275204):0.250619,4:0.525822):0.0402132,5:0.566035):0.433964);
5_h1	tree	5	19	1	4.05485	1	2	((3:0.995362,(5:0.923255,1:0.923255):0.0721074):0.00463736,(2:0.136229,4:0.136229):0.863771);
5_h1	tree	5	20	1	2.40735	1	2	((5:0.129655,1:0.129655):0.870345,((4:0.101889,2:0.101889):0.0739225,3:0.175811):0.824187);
