Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

7_h1	tree	7	1	1	4.30864	1	2	(((7:0.719454,5:0.719454):0.0460229,(((2:0.2336,6:0.2336):0.0541293,4:0.28773):0.0146492,1:0.302379):0.4631):0.234521,3:0.999999);
7_h1	tree	7	2	1	3.67248	1	2	(2:0.999999,(((6:0.161636,1:0.161636):0.11382,4:0.275457):0.51027,(3:0.346,(7:0.103662,5:0.103662):0.242338):0.439725):0.214273);
7_h1	tree	7	3	1	2.88611	1	2	((3:0.479829,(((4:0.0319981,6:0.0319981):0.0489952,7:0.0809932):0.114657,1:0.19565):0.284178):0.520171,(2:0.0976419,5:0.0976419):0.902358);
7_h1	tree	7	4	1	3.9944	1	2	((((6:0.11255,1:0.11255):0.522661,7:0.635209):0.131316,3:0.766525):0.233474,(4:0.470509,(2:0.00960512,5:0.00960512):0.460903):0.52949);
7_h1	tree	7	5	1	3.55062	0.999999	2	((3:0.424244,(1:0.386576,((6:0.258296,5:0.258296):0.0340293,(2:0.189186,7:0.189186):0.103139):0.0942498):0.0376702):0.575753,4:0.999997);
7_h1	tree	7	6	1	2.85526	1	2	((4:0.246046,((1:0.144712,(6:0.0839018,3:0.0839018):0.0608103):0.0118785,2:0.15659):0.0894554):0.753954,(7:0.224011,5:0.224011):0.775986);
7_h1	tree	7	7	1	3.88333	0.999999	2	(5:0.999998,(1:0.493725,((6:0.482944,4:0.482944):0.00382106,(7:0.220313,(2:0.199589,3:0.199589):0.020725):0.26645):0.00696137):0.506273);
7_h1	tree	7	8	1	3.4306	1	2	(1:1,((6:0.1962,2:0.1962):0.335126,((7:0.214565,(5:0.134258,4:0.134258):0.0803071):0.139682,3:0.354248):0.177078):0.468674);
7_h1	tree	7	9	1	3.81417	1	2	(1:1,((((2:0.23865,6:0.23865):0.00168279,7:0.240333):0.280222,4:0.520555):0.102166,(3:0.191914,5:0.191914):0.430806):0.377277);
7_h1	tree	7	10	1	3.41249	1	2	((6:0.332864,((5:0.313381,3:0.313381):0.0146229,4:0.328003):0.00486093):0.667135,(1:0.253733,(7:0.184513,2:0.184513):0.0692202):0.746267);
7_h1	tree	7	11	1	3.73148	1	2	(((5:0.269558,3:0.269558):0.247532,7:0.51709):0.48291,(((6:0.00617016,4:0.00617016):0.394987,2:0.401158):0.136345,1:0.537503):0.462497);
7_h1	tree	7	12	1	3.12845	1	2	((7:0.51578,(6:0.248641,4:0.248641):0.267138):0.484219,(2:0.236665,((1:0.0166552,3:0.0166552):0.0940557,5:0.110711):0.125955):0.763334);
7_h1	tree	7	13	1	3.99362	1	2	((5:0.25172,((2:0.0558974,4:0.0558974):0.156536,6:0.212433):0.0392861):0.74828,((7:0.625277,1:0.625277):0.223014,3:0.84829):0.151709);
7_h1	tree	7	14	1	3.31029	1	2	(((3:0.316906,6:0.316906):0.334625,(4:0.149821,(1:0.066967,2:0.066967):0.0828537):0.501712):0.348467,(7:0.125071,5:0.125071):0.874928);
7_h1	tree	7	15	1	3.31745	1	2	(((((7:0.070569,(6:0.0648419,3:0.0648419):0.00572732):0.0306492,4:0.101218):0.133913,2:0.235131):0.610555,1:0.845687):0.154313,5:1);
7_h1	tree	7	16	1	4.07245	1	2	(((6:0.377309,1:0.377309):0.457722,(5:0.404432,(7:0.180319,3:0.180319):0.224113):0.4306):0.164967,(2:0.275359,4:0.275359):0.724641);
7_h1	tree	7	17	1	3.42983	1	2	((4:0.18967,1:0.18967):0.810328,(((5:0.310135,(2:0.115545,7:0.115545):0.19459):0.0594973,6:0.369632):0.0752235,3:0.444854):0.555144);
7_h1	tree	7	18	1	3.6137	1	2	(7:1,(((1:0.348077,2:0.348077):0.122889,(4:0.160168,5:0.160168):0.310799):0.0011162,(6:0.162403,3:0.162403):0.309679):0.527916);
7_h1	tree	7	19	1	3.61345	1	2	((5:0.620225,(((3:0.108452,1:0.108452):0.276861,4:0.385313):0.0278617,2:0.413174):0.207049):0.379774,(6:0.0862848,7:0.0862848):0.913715);
7_h1	tree	7	20	1	2.94909	1	2	(((5:0.00739984,3:0.00739984):0.318402,(7:0.254569,((4:0.12282,2:0.12282):0.11568,6:0.238499):0.0160702):0.0712326):0.674197,1:1);
